French,English
chercher,search
police,police
aide,help
demande,request
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
eux,them
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
vont,will
aucune,any
place,square
compris,understood
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
leurs,their
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
première,first
pouvoir,power
vieux,old
sois,be
tiens,here
tellement,so much
point,point
venu,came
suite,after
devant,in front of
demandé,request
droit,law
aujourd'hui,today
mari,husband
cause,cause
espère,hope
eau,water
nouvelle,new
boulot,job
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
